<eObjectEntry  timestamp='1362931404383' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404409' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404438' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404464' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404491' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931404516' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931404543' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931404574' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931404652' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404678' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931404709' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931404787' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931405045' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931405117' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931405142' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931405171' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931405196' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931405219' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931405244' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931448458' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931448490' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931448519' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931448544' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931448568' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931448592' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931543992' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362931546435' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546478' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546504' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546565' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546589' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546612' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546634' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546659' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546686' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546775' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546812' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546841' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546870' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546897' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931546923' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546950' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546974' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931546997' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931547021' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931611095' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362931613547' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931613576' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931613673' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931613698' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931613786' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931613823' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931613894' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931613918' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362931613941' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614023' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614102' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614191' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362931614213' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='true'/>
